x,y,z,phi,theta
33.7901533292294,-10.7557699409872,-755.542255521926,-120,5
52.4196933415413,0,-755.542255521926,0,5
33.7901533292294,10.7557699409872,-755.542255521926,120,5
27.6275673412312,-21.429681978212,-757.16489519576,-120,10
64.7448653175376,0,-757.16489519576,0,10
27.6275673412312,21.429681978212,-757.16489519576,120,10
40,0,-735,0,0
33.7901533292294,-10.7557699409872,-735.542255521926,-120,5
52.4196933415413,0,-735.542255521926,0,5
33.7901533292294,10.7557699409872,-735.542255521926,120,5
27.6275673412312,-21.429681978212,-737.16489519576,-120,10
64.7448653175376,0,-737.16489519576,0,10
27.6275673412312,21.429681978212,-737.16489519576,120,10
40,0,-715,0,0
33.7901533292294,-10.7557699409872,-715.542255521926,-120,5
52.4196933415413,0,-715.542255521926,0,5
33.7901533292294,10.7557699409872,-715.542255521926,120,5
27.6275673412312,-21.429681978212,-717.16489519576,-120,10
64.7448653175376,0,-717.16489519576,0,10
27.6275673412312,21.429681978212,-717.16489519576,120,10
40,20,-755,0,0
33.7901533292294,9.2442300590128,-755.542255521926,-120,5
52.4196933415413,20,-755.542255521926,0,5
33.7901533292294,30.7557699409872,-755.542255521926,120,5
27.6275673412312,-1.42968197821203,-757.16489519576,-120,10
64.7448653175376,20,-757.16489519576,0,10
27.6275673412312,41.429681978212,-757.16489519576,120,10
40,20,-735,0,0
33.7901533292294,9.2442300590128,-735.542255521926,-120,5
52.4196933415413,20,-735.542255521926,0,5
33.7901533292294,30.7557699409872,-735.542255521926,120,5
27.6275673412312,-1.42968197821203,-737.16489519576,-120,10
64.7448653175376,20,-737.16489519576,0,10
27.6275673412312,41.429681978212,-737.16489519576,120,10
40,20,-715,0,0
